id,path,language,kind,name,qualname,signature,lineno,end_lineno,doc,imports,calls,entrypoint
definition:src/ciel_sot_agent/__init__.py:__all__@L1,src/ciel_sot_agent/__init__.py,python,constant,__all__,__all__,__all__,1,5,,,,False
file:src/ciel_sot_agent/__main__.py,src/ciel_sot_agent/__main__.py,python,file,__main__.py,src.ciel_sot_agent.__main__,,1,66,Entry point for ``python -m ciel_sot_agent``.,__future__;importlib;sys,,False
definition:src/ciel_sot_agent/__main__.py:_print_help@L32,src/ciel_sot_agent/__main__.py,python,function,_print_help,_print_help,_print_help(),32,40,,,print,False
definition:src/ciel_sot_agent/__main__.py:main@L43,src/ciel_sot_agent/__main__.py,python,function,main,main,main(),43,62,,,_print_help;fn;getattr;len;print,False
file:src/ciel_sot_agent/_gh_utils.py,src/ciel_sot_agent/_gh_utils.py,python,file,_gh_utils.py,src.ciel_sot_agent._gh_utils,,1,168,Shared GitHub API utilities for the coupling subsystems.,__future__;dataclasses;json;logging;math;pathlib;repo_phase;typing;urllib.request,,False
definition:src/ciel_sot_agent/_gh_utils.py:_LOG@L19,src/ciel_sot_agent/_gh_utils.py,python,constant,_LOG,_LOG,_LOG,19,19,,,,False
definition:src/ciel_sot_agent/_gh_utils.py:UpstreamConfig@L23,src/ciel_sot_agent/_gh_utils.py,python,class,UpstreamConfig,UpstreamConfig,class UpstreamConfig,23,29,,,,False
definition:src/ciel_sot_agent/_gh_utils.py:wrap_angle@L32,src/ciel_sot_agent/_gh_utils.py,python,function,wrap_angle,wrap_angle,wrap_angle(x),32,38,"Wrap *x* into (-pi, pi].",,,False
definition:src/ciel_sot_agent/_gh_utils.py:_github_json@L41,src/ciel_sot_agent/_gh_utils.py,python,function,_github_json,_github_json,"_github_json(url, token)",41,56,Fetch a GitHub API endpoint and return the parsed JSON response.,,,False
definition:src/ciel_sot_agent/_gh_utils.py:fetch_head@L59,src/ciel_sot_agent/_gh_utils.py,python,function,fetch_head,fetch_head,"fetch_head(repo_full_name, branch, token)",59,81,Return the latest commit metadata for *repo_full_name*/*branch*.,,_github_json;str,False
definition:src/ciel_sot_agent/_gh_utils.py:load_upstreams@L84,src/ciel_sot_agent/_gh_utils.py,python,function,load_upstreams,load_upstreams,load_upstreams(path),84,103,Parse an upstreams JSON file into a list of :class:`UpstreamConfig`.,,Path;UpstreamConfig;bool;float;str,False
definition:src/ciel_sot_agent/_gh_utils.py:load_runtime_state@L106,src/ciel_sot_agent/_gh_utils.py,python,function,load_runtime_state,load_runtime_state,load_runtime_state(path),106,112,Load persisted coupling runtime state; return defaults if missing.,,Path,False
definition:src/ciel_sot_agent/_gh_utils.py:propagate_phase_changes@L115,src/ciel_sot_agent/_gh_utils.py,python,function,propagate_phase_changes,propagate_phase_changes,"propagate_phase_changes(states, couplings, changed_keys)",115,168,Propagate phase shifts triggered by upstream changes.,,abs;dict;float;replace;wrap_angle,False
file:src/ciel_sot_agent/ciel_pipeline.py,src/ciel_sot_agent/ciel_pipeline.py,python,file,ciel_pipeline.py,src.ciel_sot_agent.ciel_pipeline,,1,145,CIEL pipeline adapter — routes orbital state through the CIEL/Ω engine.,__future__;argparse;json;pathlib;paths;sys;typing,,False
definition:src/ciel_sot_agent/ciel_pipeline.py:_CANONICAL_CIEL_OMEGA_SUBPATH@L23,src/ciel_sot_agent/ciel_pipeline.py,python,constant,_CANONICAL_CIEL_OMEGA_SUBPATH,_CANONICAL_CIEL_OMEGA_SUBPATH,_CANONICAL_CIEL_OMEGA_SUBPATH,23,27,,,,False
definition:src/ciel_sot_agent/ciel_pipeline.py:_ensure_ciel_omega_on_path@L30,src/ciel_sot_agent/ciel_pipeline.py,python,function,_ensure_ciel_omega_on_path,_ensure_ciel_omega_on_path,_ensure_ciel_omega_on_path(root),30,34,Prefer the canonical Omega anchor over mirrored runtime copies.,,str,False
definition:src/ciel_sot_agent/ciel_pipeline.py:_get_engine@L37,src/ciel_sot_agent/ciel_pipeline.py,python,function,_get_engine,_get_engine,_get_engine(root),37,47,Return a fresh CielEngine instance.,,CielEngine;_ensure_ciel_omega_on_path,False
definition:src/ciel_sot_agent/ciel_pipeline.py:_orbital_state_to_context@L50,src/ciel_sot_agent/ciel_pipeline.py,python,function,_orbital_state_to_context,_orbital_state_to_context,_orbital_state_to_context(orbital_state),50,59,Encode key orbital scalars as a compact context string for the engine.,,,False
definition:src/ciel_sot_agent/ciel_pipeline.py:run_ciel_pipeline@L62,src/ciel_sot_agent/ciel_pipeline.py,python,function,run_ciel_pipeline,run_ciel_pipeline,"run_ciel_pipeline(orbital_state, context)",62,120,Run orbital state through the CIEL/Ω pipeline.,,Path;_get_engine;_orbital_state_to_context;float;resolve_project_root,False
definition:src/ciel_sot_agent/ciel_pipeline.py:main@L123,src/ciel_sot_agent/ciel_pipeline.py,python,function,main,main,main(),123,141,,,open;print;run_ciel_pipeline,False
file:src/ciel_sot_agent/gh_coupling.py,src/ciel_sot_agent/gh_coupling.py,python,file,gh_coupling.py,src.ciel_sot_agent.gh_coupling,,1,152,GitHub coupling subsystem (v1) — live upstream-aware phase coupling.,__future__;_gh_utils;datetime;json;logging;os;pathlib;paths;repo_phase;typing,,True
definition:src/ciel_sot_agent/gh_coupling.py:_LOG@L27,src/ciel_sot_agent/gh_coupling.py,python,constant,_LOG,_LOG,_LOG,27,27,,,,False
definition:src/ciel_sot_agent/gh_coupling.py:build_live_coupling@L30,src/ciel_sot_agent/gh_coupling.py,python,function,build_live_coupling,build_live_coupling,build_live_coupling(root),30,141,,,Path;abs;closure_defect;fetch_head;load_couplings;load_registry;load_runtime_state;load_upstreams;propagate_phase_changes;weighted_euler_vector,False
definition:src/ciel_sot_agent/gh_coupling.py:main@L144,src/ciel_sot_agent/gh_coupling.py,python,function,main,main,main(),144,148,,,Path;build_live_coupling;print;resolve_project_root,False
